transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id,status,pending_balance
19,3,"Pitts, Hamilton and Garza",2025-04-01 03:44:12,-488.76,"7566 Haney Wall, Albany, NY 14060",refund,,pending,1003.85
20,14,Kim-Hutchinson,2025-04-01 03:48:40,68.02,"8710 Thomas Ramp, Rochester, NY 19704",atm_withdrawal,,pending,3230.48
21,22,Sanders-Johnson,2025-04-01 04:12:09,43.9,"4742 Christopher Avenue, New York, NY 19770",purchase,,pending,671.45
22,3,"Cooper, Acevedo and Jackson",2025-04-01 04:17:45,251.84,"3278 Melissa Pines, Syracuse, NY 18269",purchase,,pending,1255.69
23,17,Patterson-Thompson,2025-04-01 04:22:44,112.69,"8849 Dakota Lakes, Rochester, NY 10692",purchase,,pending,2357.98
24,38,Rodriguez-Lopez,2025-04-01 04:23:32,106.94,"8479 Sydney Lake, Ithaca, NY 17448",atm_withdrawal,,pending,1703.41
25,39,Goodman-Wilkinson,2025-04-01 04:24:07,274.46,"7608 Carolyn Vista, Utica, NY 18585",purchase,,pending,3107.79
26,9,"Santiago, Williams and Gill",2025-04-01 05:04:01,68.19,"8129 Santana Springs, Schenectady, NY 15555",wire_transfer,,pending,1505.34
27,44,Walker LLC,2025-04-01 05:07:42,412.14,"1624 Coleman Branch, Yonkers, NY 16697",p2p_transfer,,pending,1325.44
28,4,Gutierrez LLC,2025-04-01 05:13:38,219.88,"3447 Sara Hills, Cheektowaga, NY 18190",p2p_transfer,,pending,2643.19
29,55,Blair-Peterson,2025-04-01 05:14:51,96.58,"5746 Payne Forest, Binghamton, NY 13094",wire_transfer,,pending,13419.28
30,54,"Baker, Cochran and Carson",2025-04-01 05:17:57,203.89,"866 Hudson Dale, Millerport, VT 01240",p2p_transfer,,declined,2079.45
31,21,Freeman and Sons,2025-04-01 05:23:36,-443.42,"7834 Nguyen Manor, New York, NY 15667",refund,,pending,1183.58
32,53,Young-Murray,2025-04-01 05:50:11,-227.11,"9003 Coleman Ridges, Ithaca, NY 18965",refund,,pending,1195.04
33,55,Hernandez Ltd,2025-04-01 06:10:12,-401.25,"7471 Sandra Ramp, Ithaca, NY 11583",refund,,pending,13018.03
34,40,Elliott-Norris,2025-04-01 06:16:55,287.2,"8078 Janice Lights, Bergerside, VT 00784",wire_transfer,,declined,472.51
35,9,"Rodriguez, Williams and Mahoney",2025-04-01 06:20:34,299.21,"9743 Hammond Brook, Staten Island, NY 11287",p2p_transfer,,pending,1804.55
36,18,"Woods, Orr and Guzman",2025-04-01 06:21:58,-426.42,"2463 Wilson Throughway, Brooklyn, NY 18252",refund,,pending,11140.81
37,48,Hughes LLC,2025-04-01 06:34:40,200.28,"4881 Villa Viaduct, Syracuse, NY 12832",purchase,,pending,1471.28
38,13,"Meadows, Mckinney and Durham",2025-04-01 06:40:13,-327.64,"9743 Daniel Route, Bronx, NY 19547",refund,,pending,2008.87
39,26,Waters-Phillips,2025-04-01 06:41:18,192.77,"8199 Danny Station, Rochester, NY 12322",bill_payment,,pending,2332.12
40,7,Mason-Parsons,2025-04-01 06:48:32,290.94,"3729 Smith Spring, Syracuse, NY 17434",bill_payment,,pending,2159.11
41,45,Mcpherson-Day,2025-04-01 07:02:58,384.75,"5983 Hale Glen, Rochester, NY 14084",p2p_transfer,,pending,1277.49
42,22,"Harvey, Gray and Hernandez",2025-04-01 07:04:27,-67.06,"6149 Tracy Crossroad, Troy, NY 10880",refund,,pending,604.39
43,35,"Guerrero, Hebert and Barrera",2025-04-01 07:05:33,145.1,"9843 William Drives, White Plains, NY 16586",atm_withdrawal,,pending,1614.01
44,23,Hoffman Group,2025-04-01 07:06:52,-290.01,"9086 Michael Plain, Brooklyn, NY 14365",refund,,pending,3070.56
45,57,Tran Group,2025-04-01 07:08:53,159.83,"1860 Matthew Causeway, Ithaca, NY 13952",purchase,,pending,2497.97
46,29,Miles Ltd,2025-04-01 07:50:59,266.34,"5401 Shane Garden, South Brittanyland, CA 99876",wire_transfer,,declined,3339.75
47,24,Smith LLC,2025-04-01 08:07:32,212.32,"2512 Jamie Extensions, White Plains, NY 14038",bill_payment,,pending,2872.07
48,7,Wallace Inc,2025-04-01 08:17:58,-42.78,"7500 Michelle Oval, Utica, NY 16454",refund,,pending,2116.33
49,4,Welch-Wright,2025-04-01 08:18:57,141.17,"738 Sharon Motorway, Lake George, VT 00005",purchase,,declined,2643.19
50,49,"Stanley, Mccoy and Mccoy",2025-04-01 08:41:37,187.89,"774 Macias Throughway, Troy, NY 12788",atm_withdrawal,,pending,2640.82
51,26,"Thompson, Sullivan and Cox",2025-04-01 08:48:30,-314.33,"6525 Hubbard Valley, Madelineland, IL 62512",refund,,pending,2017.79
52,5,Lee PLC,2025-04-01 08:52:27,128.37,"8456 Morgan Station, Staten Island, NY 19162",atm_withdrawal,,pending,3014.69
53,14,Sharp-Moon,2025-04-01 08:56:06,174.57,"4190 Weber Mission, Yonkers, NY 15178",atm_withdrawal,,pending,3405.05
54,17,Garrett LLC,2025-04-01 08:59:28,213.85,"1071 Garcia Common, Staten Island, NY 16769",p2p_transfer,,pending,2571.83
55,39,Ford Inc,2025-04-01 09:06:47,322.81,"3738 Dennis Freeway, Rochester, NY 18713",p2p_transfer,,pending,3430.6
56,18,Pacheco-Johnston,2025-04-01 09:26:02,229.56,"2649 Thornton Valley, Albany, NY 14604",wire_transfer,,pending,11370.37
57,3,"Shaffer, Blair and Rodriguez",2025-04-01 09:32:17,-420.56,"2299 Harris Extensions, Niagara Falls, NY 19859",refund,,pending,835.13
58,34,Oneal-Tucker,2025-04-01 09:33:03,176.44,"3995 Jorge Camp, Lake Brentstad, VT 08618",bill_payment,,declined,12701.3
59,13,"Nicholson, Mcintyre and Mooney",2025-04-01 09:45:02,214.42,"7499 Harmon Wall, Schenectady, NY 18131",p2p_transfer,,pending,2223.29
60,6,Castillo Group,2025-04-01 09:45:35,198.17,"6796 Michael Flat, Syracuse, NY 12511",atm_withdrawal,,pending,1711.07
61,26,Graves-Santiago,2025-04-01 10:04:27,96.35,"9539 Smith Street, Niagara Falls, NY 15501",purchase,,pending,2114.14
62,1,Murphy-Sherman,2025-04-01 10:05:09,-34.95,"4094 Charles Course, Yonkers, NY 14427",refund,,pending,5299.31
63,30,Wu LLC,2025-04-01 10:17:11,68.07,"2019 Kristen Mill, Binghamton, NY 14374",p2p_transfer,,pending,1755.83
64,21,Ford Inc,2025-04-01 10:18:52,774.0,"5170 Charles Turnpike, North Sydney, MA 03186",purchase,,declined,1183.58
65,30,Collins-Patterson,2025-04-01 10:31:35,-85.62,"6306 Cynthia Street, Albany, NY 18929",refund,,pending,1670.21
66,6,Christensen and Sons,2025-04-01 11:01:05,283.83,"2295 Perry Extension, North Jamie, NJ 03499",p2p_transfer,,declined,1711.07
67,50,"Freeman, Guerrero and Mayer",2025-04-01 11:02:01,107.57,"9843 Ashley Mills, Bronx, NY 18999",p2p_transfer,,pending,1275.88
68,53,Matthews Group,2025-04-01 11:22:16,423.16,"1112 Nunez Hills, Troy, NY 17024",wire_transfer,,pending,1618.2
69,17,Kennedy LLC,2025-04-01 11:26:42,-150.95,"8415 Cruz Via, Schenectady, NY 16604",refund,,pending,2420.88
70,42,Odonnell Inc,2025-04-01 11:44:23,-63.07,"6760 Jacob Heights, Bronx, NY 11460",refund,,pending,872.32
71,30,Blake LLC,2025-04-01 12:32:47,124.8,"8956 Melissa Terrace, Ithaca, NY 11094",p2p_transfer,,pending,1795.01
72,39,Yoder-Boyd,2025-04-01 13:04:54,-178.64,"7505 Christopher Creek, Niagara Falls, NY 18674",refund,,pending,3251.96
73,42,"Mercado, Weiss and Baker",2025-04-01 13:05:22,365.43,"357 Jose Spurs, Staten Island, NY 19590",wire_transfer,,pending,1237.75
74,26,"Webb, Young and Fernandez",2025-04-01 13:28:26,129.4,"6935 Brittany Rapid, Rochester, NY 19332",atm_withdrawal,,pending,2243.54
75,40,Anderson Inc,2025-04-01 13:42:53,-36.32,"9603 Hailey Plains, Utica, NY 18431",refund,,pending,436.19
76,34,Smith Group,2025-04-01 13:46:41,6573.75,"166 Charles Valleys, Buffalo, NY 15480",bill_payment,,pending,19275.05
77,38,"Vaughn, Reyes and Wallace",2025-04-01 14:22:38,170.52,"171 Armstrong Knoll, New York, NY 19490",atm_withdrawal,,pending,1873.93
78,41,Welch-Powell,2025-04-01 14:23:34,47.63,"3541 Gonzalez Village, Troy, NY 14749",atm_withdrawal,,pending,374.73
79,46,Brown-Todd,2025-04-01 14:27:37,438.17,"5015 Ramirez Crossroad, Schenectady, NY 18778",p2p_transfer,,pending,1699.33
80,54,"Williams, Joyce and Vaughn",2025-04-01 14:43:14,448.22,"6374 Rogers Divide, New York, NY 17583",wire_transfer,,pending,2527.67
81,47,Brown LLC,2025-04-01 14:53:12,148.79,"596 Ariel Plaza, Rochester, NY 14371",purchase,,pending,3255.37
82,52,Koch-Thompson,2025-04-01 14:57:28,75.48,"5140 Wayne Pass, New York, NY 18640",purchase,,pending,1950.98
83,51,Pacheco Inc,2025-04-01 15:19:38,203.42,"6370 Drew Stream, West Jeffrey, TX 70982",p2p_transfer,,declined,846.04
84,18,Ortiz-Castaneda,2025-04-01 15:31:12,5885.85,"2864 Mcdaniel Cove, New York, NY 12776",p2p_transfer,,pending,17256.22
85,16,Johnston LLC,2025-04-01 15:39:12,96.2,"7653 Baker Isle, Buffalo, NY 11993",purchase,,pending,2965.84
86,10,Sanchez Ltd,2025-04-01 15:48:35,269.86,"4809 Cordova Cove, Buffalo, NY 15333",p2p_transfer,,pending,2212.64
87,57,Dominguez and Sons,2025-04-01 15:55:30,52.4,"7636 Alejandra Summit, Queens, NY 11930",purchase,,pending,2550.37
88,20,Young Ltd,2025-04-01 16:19:12,21.45,"8509 Amy Route, Troy, NY 12881",atm_withdrawal,,pending,2058.16
89,60,Wilson PLC,2025-04-01 16:20:55,424.41,"6933 Adam Rapids, Binghamton, NY 10723",p2p_transfer,,pending,2696.5
90,2,"Atkinson, Garcia and Bass",2025-04-01 16:33:56,256.1,"1501 Cummings Place, Binghamton, NY 12937",bill_payment,,pending,2171.96
91,3,"Perry, Hall and Gray",2025-04-01 16:43:52,74.71,"4552 Adams Ferry, Welchberg, FL 32952",bill_payment,,declined,835.13
92,53,Shaw LLC,2025-04-01 16:46:09,-321.74,"3780 Angela Mountains, Binghamton, NY 13662",refund,,pending,1296.46
93,47,"Smith, King and Watson",2025-04-01 16:57:14,186.06,"6895 Hodges Orchard, South Victoria, MA 09538",p2p_transfer,,declined,3255.37
94,21,Smith-Morales,2025-04-01 16:59:03,134.28,"4754 Obrien Spring, Albany, NY 12503",purchase,,pending,1317.86
95,44,Golden-Ware,2025-04-01 16:59:42,293.27,"6046 Mark Port, Bronx, NY 14977",purchase,,pending,1618.71
96,40,Turner-Jones,2025-04-01 17:00:01,58.97,"4633 Sydney Lodge, Niagara Falls, NY 16505",atm_withdrawal,,pending,495.16
97,26,Kim PLC,2025-04-01 17:02:19,160.36,"362 Donna Center, Ithaca, NY 11738",p2p_transfer,,pending,2403.9
98,7,Moore PLC,2025-04-01 17:22:57,183.0,"4483 Wilkerson Overpass, Mckinneyview, IL 64793",purchase,,declined,2116.33
99,25,"Stanley, Weber and Valenzuela",2025-04-01 17:24:29,456.5,"7612 Alexis Mews, Syracuse, NY 14184",p2p_transfer,,pending,1656.29
100,29,Campbell-Daugherty,2025-04-01 17:31:54,175.9,"3690 Nathaniel Neck, Buffalo, NY 11964",bill_payment,,pending,3515.65
101,22,Graham and Sons,2025-04-01 17:40:10,173.63,"6010 Gina Squares, New York, NY 18711",wire_transfer,,pending,778.02
102,4,Gardner Ltd,2025-04-01 17:43:23,-316.26,"2356 Guerra Court, Utica, NY 19317",refund,,pending,2326.93
103,60,Jones-Hurley,2025-04-01 17:50:44,133.21,"7934 Deanna Stream, Rochester, NY 13487",atm_withdrawal,,pending,2829.71
104,40,"Hawkins, Gould and Curtis",2025-04-01 18:05:07,3420.3,"7021 Johnson Vista, Staten Island, NY 18342",purchase,,declined,495.16
105,52,"Hill, Garcia and Morris",2025-04-01 18:17:51,-180.15,"9588 Flores Isle, Binghamton, NY 11829",refund,,pending,1770.83
106,5,"Jackson, Webb and Lucas",2025-04-01 18:33:45,164.36,"3616 Andrews Circles, Utica, NY 18734",wire_transfer,,pending,3179.05
107,59,"Fry, Lawson and Dunlap",2025-04-01 18:36:33,320.1,"4796 Clark Crossroad, Brooklyn, NY 10953",bill_payment,,pending,16242.42
108,38,Atkins PLC,2025-04-01 18:55:12,181.89,"8167 Ward Stream, Schenectady, NY 10986",purchase,,pending,2055.82
109,60,Davis and Sons,2025-04-01 19:26:59,-472.07,"5424 Heath Cove, Rochester, NY 10802",refund,,pending,2357.64
110,11,"Shelton, Nicholson and Sanders",2025-04-01 19:44:36,168.57,"9610 Hardy Turnpike, Ithaca, NY 14179",p2p_transfer,,pending,892.23
111,5,Williams and Sons,2025-04-01 20:22:26,49.81,"5814 Floyd Port, Yonkers, NY 15369",purchase,,pending,3228.86
112,34,Barnes Inc,2025-04-01 20:30:35,262.81,"5037 Nelson Ville, Parkerview, FL 34085",bill_payment,,declined,19275.05
113,5,Escobar Group,2025-04-01 20:34:34,51.28,"2584 Chung Flats, Staten Island, NY 19617",atm_withdrawal,,pending,3280.14
114,35,"Villa, Douglas and Williams",2025-04-01 20:45:51,41.98,"966 Hurley Pine, Rochester, NY 17406",atm_withdrawal,,pending,1655.99
115,59,Calhoun-Estrada,2025-04-01 21:08:33,182.04,"4689 Fleming Squares, Binghamton, NY 12370",wire_transfer,,pending,16424.46
116,58,English-Romero,2025-04-01 21:16:30,281.82,"4966 Adam Fields, Albany, NY 14052",bill_payment,,pending,3743.06
117,59,Garcia and Sons,2025-04-01 21:19:19,137.59,"8444 Randy Villages, Troy, NY 15094",bill_payment,,pending,16562.05
118,1,Roth-Bell,2025-04-01 21:32:54,106.33,"3642 Sherman Place, Queens, NY 13929",atm_withdrawal,,pending,5405.64
119,15,"Gray, Barrett and Gardner",2025-04-01 21:48:57,153.49,"8131 Cathy Plains, Niagara Falls, NY 13657",atm_withdrawal,,pending,2044.99
120,26,Owens PLC,2025-04-01 22:20:03,413.44,"7776 Smith Plains, Schenectady, NY 12423",wire_transfer,,pending,2817.34
121,14,"Nichols, Williams and Flores",2025-04-01 22:31:35,253.39,"2352 Jennifer Fort, White Plains, NY 19908",wire_transfer,,pending,3658.44
122,52,Reynolds PLC,2025-04-01 22:56:49,42.33,"142 Gutierrez Springs, Buffalo, NY 11427",atm_withdrawal,,pending,1813.16
123,51,"Long, Gonzales and Benitez",2025-04-01 22:57:02,250.9,"7389 Kathleen Fords, Kingchester, IL 64985",p2p_transfer,,declined,846.04
124,42,Carney-Thompson,2025-04-01 23:15:10,123.71,"8595 Hartman Burg, Queens, NY 19643",wire_transfer,,pending,1361.46
125,19,Beck Ltd,2025-04-01 23:24:28,223.4,"3189 Marissa Lake, Syracuse, NY 16938",purchase,,pending,1716.18
126,30,Haley Group,2025-04-01 23:41:17,35.15,"6007 Sanchez Bridge, Port Laura, CT 01074",atm_withdrawal,,declined,1795.01
127,16,Green-Ferrell,2025-04-01 23:50:05,138.02,"4395 Angelica Mews, Queens, NY 12583",atm_withdrawal,,pending,3103.86
128,40,Anderson Ltd,2025-04-01 23:53:56,198.08,"5710 Gilmore Drives, Cheektowaga, NY 14416",wire_transfer,,pending,693.24
129,25,"Lewis, Jensen and Berry",2025-04-02 01:12:02,37.73,"3401 Wood Alley, Cheektowaga, NY 16627",purchase,,pending,1694.02
130,6,Baker Ltd,2025-04-02 01:29:00,70.93,"90 Combs Harbor, New York, NY 10769",bill_payment,,pending,1782.0
131,27,"Raymond, Lawrence and Mosley",2025-04-02 01:35:49,115.77,"8529 David Ways, North Anthony, IL 67339",bill_payment,,declined,739.99
132,16,"Martinez, Roberson and Solis",2025-04-02 01:48:01,243.7,"806 Samuel Islands, Buffalo, NY 14436",purchase,,pending,3347.56
133,4,Marshall-Yoder,2025-04-02 01:57:51,220.89,"3369 Andrew Square, New York, NY 11887",wire_transfer,,pending,2547.82
134,3,Powers Inc,2025-04-02 02:34:02,56.13,"1536 David Underpass, White Plains, NY 18312",wire_transfer,,pending,891.26
135,18,"Haas, Perez and Patterson",2025-04-02 02:56:16,27.21,"5188 Pennington Burgs, White Plains, NY 17564",atm_withdrawal,,pending,17283.43
136,27,Peterson-Thompson,2025-04-02 03:03:36,236.83,"5712 Ellis Stravenue, Binghamton, NY 11713",purchase,,pending,976.82
137,38,Collins-Jackson,2025-04-02 03:10:18,-441.83,"6550 Mark Shore, Schenectady, NY 11068",refund,,pending,1613.99
138,13,Black-Mckinney,2025-04-02 03:11:40,50.46,"5480 Hernandez Burg, Buffalo, NY 19541",atm_withdrawal,,pending,2273.75
139,34,Russell-Walton,2025-04-02 03:19:02,194.95,"5923 Lee Loaf, Schenectady, NY 14218",p2p_transfer,,pending,19470.0
140,16,Willis Ltd,2025-04-02 03:25:34,181.64,"9280 Harrison Keys, Bronx, NY 14598",atm_withdrawal,,pending,3529.2
141,57,Hancock Inc,2025-04-02 03:51:41,256.33,"6354 Michelle Key, Queens, NY 16923",bill_payment,,pending,2806.7
142,2,Gibson-Williams,2025-04-02 04:47:36,400.72,"1688 Richardson Pine, Schenectady, NY 15956",wire_transfer,,pending,2572.68
143,20,"Smith, Jones and Scott",2025-04-02 04:58:37,382.09,"9884 Boyd Stravenue, New York, NY 15656",p2p_transfer,,pending,2440.25
144,50,Banks Ltd,2025-04-02 05:22:40,74.55,"7132 Tyler Centers, Ithaca, NY 15124",atm_withdrawal,,pending,1350.43
145,35,Sanders-Mathews,2025-04-02 05:37:15,387.05,"5307 Garcia Squares, Utica, NY 17746",p2p_transfer,,pending,2043.04
146,57,King-Martin,2025-04-02 05:41:44,196.32,"5131 Sullivan Well, Cheektowaga, NY 17312",atm_withdrawal,,pending,3003.02
147,8,Lowe-Lowery,2025-04-02 05:50:35,29.75,"9453 Taylor Park, Bronx, NY 18323",atm_withdrawal,,pending,1472.92
148,12,"Murray, Joseph and Wells",2025-04-02 05:51:17,-78.17,"1367 Fuentes Way, Yonkers, NY 12472",refund,,pending,657.86
149,56,"Rivera, Stout and Crane",2025-04-02 05:59:36,223.48,"5807 Kathleen Mission, Syracuse, NY 11916",wire_transfer,,pending,798.93
150,9,Heath LLC,2025-04-02 06:06:36,75.1,"6823 Sean Dam, South Nancy, MA 06134",atm_withdrawal,,declined,1804.55
151,57,"Martin, Bryant and Forbes",2025-04-02 06:24:11,-123.74,"2743 Lauren Brooks, Rochester, NY 10312",refund,,pending,2879.28
152,60,"Jackson, Moore and Frank",2025-04-02 06:33:36,-133.4,"49 David Square, Syracuse, NY 10488",refund,,pending,2224.24
153,26,Romero-Fisher,2025-04-02 06:47:47,134.15,"7928 Sanchez Locks, Yonkers, NY 12663",wire_transfer,,pending,2951.49
154,46,"Adams, Franklin and Harris",2025-04-02 06:57:30,76.08,"1363 Hernandez View, New York, NY 13887",bill_payment,,pending,1775.41
155,5,Green LLC,2025-04-02 07:02:09,466.1,"714 Wang Key, Bronx, NY 15632",wire_transfer,,pending,3746.24
156,5,"Duran, Hammond and Hensley",2025-04-02 07:17:27,95.82,"4926 Young Plains, Syracuse, NY 14987",p2p_transfer,,pending,3842.06
157,53,"Martin, Wolfe and Hill",2025-04-02 07:18:08,-299.01,"1288 Anthony Vista, Queens, NY 13970",refund,,pending,997.45
158,57,Acosta LLC,2025-04-02 08:14:48,391.78,"3575 Garza Station, Buffalo, NY 13135",wire_transfer,,pending,3271.06
159,26,"Williams, Cohen and Miles",2025-04-02 08:31:32,106.41,"106 Leah Shoals, Staten Island, NY 12349",wire_transfer,,pending,3057.9
160,1,Simpson Inc,2025-04-02 09:08:17,83.33,"4211 Haley Curve, Cheektowaga, NY 14023",bill_payment,,pending,5488.97
161,29,"Clark, Huerta and Jackson",2025-04-02 09:11:46,395.64,"2389 Martin Curve, Niagara Falls, NY 17681",bill_payment,,pending,3911.29
162,1,Martin-Gonzalez,2025-04-02 09:34:44,383.95,"8677 Frank Trace, New York, NY 14959",wire_transfer,,pending,5872.92
163,52,"Serrano, Pierce and Duncan",2025-04-02 09:46:51,-60.57,"4882 Schmidt Avenue, Schenectady, NY 18120",refund,,pending,1752.59
164,59,"Ward, Andrews and Miranda",2025-04-02 09:51:29,135.19,"671 Williams Manor, Queens, NY 12966",wire_transfer,,pending,16697.24
165,28,"Kelly, Adams and Payne",2025-04-02 10:05:45,-370.97,"2755 Nicholas Plains, White Plains, NY 11435",refund,,pending,7809.37
166,48,"Martinez, Davidson and Mcbride",2025-04-02 10:17:25,98.08,"7058 Melissa Rest, Staten Island, NY 18238",atm_withdrawal,,pending,1569.36
167,37,Thompson-Garrett,2025-04-02 10:19:47,-297.68,"7875 Evans Vista, Brooklyn, NY 17890",refund,,pending,1982.96
168,13,Lynn Group,2025-04-02 10:51:58,52.95,"8402 Matthew Shoals, Schenectady, NY 11435",p2p_transfer,,pending,2326.7
169,13,Rodriguez PLC,2025-04-02 11:15:13,-326.1,"3161 Christina Keys, West Edwardport, PA 18598",refund,,pending,2000.6
170,19,Parrish-Combs,2025-04-02 11:29:34,52.04,"9897 Reed Shoal, New York, NY 18807",purchase,,pending,1768.22
171,24,Stewart Group,2025-04-02 11:58:23,267.57,"1410 Baird Points, White Plains, NY 16340",wire_transfer,,pending,3139.64
172,37,"Ferrell, Briggs and Kirk",2025-04-02 12:06:18,368.31,"6811 Nathan Forks, Buffalo, NY 11139",wire_transfer,,pending,2351.27
173,1,"Harris, Brown and Freeman",2025-04-02 12:14:08,-299.11,"6162 Hartman Flats, Utica, NY 10717",refund,,pending,5573.81
174,38,"Hogan, Mccoy and Miller",2025-04-02 12:29:03,320.67,"6655 Melissa Flat, Brooklyn, NY 16505",wire_transfer,,pending,1934.66
175,48,Woodard Group,2025-04-02 12:30:00,215.61,"8911 Torres Ville, Utica, NY 18311",wire_transfer,,pending,1784.97
176,54,Graham PLC,2025-04-02 12:32:21,56.31,"3963 Wayne Villages, Staten Island, NY 14760",purchase,,pending,2583.98
177,59,"Howell, Hernandez and Fitzgerald",2025-04-02 12:47:54,6502.35,"5392 Carter Rest, Buffalo, NY 14560",bill_payment,,pending,23199.59
178,20,Reyes and Sons,2025-04-02 12:54:32,169.86,"4013 Miller Gateway, Brooklyn, NY 13355",p2p_transfer,,pending,2610.11
179,24,Howard-Brown,2025-04-02 12:55:19,155.45,"2243 Neal Highway, Josephton, VT 05948",purchase,,declined,3139.64
180,22,"Cohen, Martinez and Henderson",2025-04-02 12:57:40,15.58,"1304 Black Orchard, Ithaca, NY 12953",purchase,,pending,793.6
181,19,"Frey, Chan and Aguirre",2025-04-02 13:30:48,194.64,"2292 Karen Divide, Cheektowaga, NY 17262",atm_withdrawal,,pending,1962.86
182,15,"West, Hammond and Smith",2025-04-02 13:31:09,225.08,"9182 John Islands, Ithaca, NY 16836",p2p_transfer,,pending,2270.07
183,58,"Smith, Fisher and Jones",2025-04-02 13:34:45,468.82,"6879 Vasquez Vista, Brooklyn, NY 19073",p2p_transfer,,pending,4211.88
184,56,Martinez Inc,2025-04-02 13:40:14,181.3,"9331 Russo Trace, Queens, NY 13199",atm_withdrawal,,pending,980.23
185,60,"Francis, Jones and Dodson",2025-04-02 14:07:37,189.8,"7799 Frye Ports, Kristashire, FL 34730",bill_payment,,declined,2224.24
186,58,Garcia PLC,2025-04-02 14:08:59,476.98,"2279 Green Inlet, Schenectady, NY 11648",wire_transfer,,pending,4688.86
187,52,Castillo Group,2025-04-02 14:09:56,385.04,"5615 Nicholas Run, Buffalo, NY 11550",p2p_transfer,,pending,2137.63
188,20,"Taylor, Heath and Phillips",2025-04-02 14:22:20,-418.7,"8073 Brooke Neck, Staten Island, NY 16073",refund,,pending,2191.41
189,7,Young-Powell,2025-04-02 14:49:47,462.97,"7990 Maria Point, Binghamton, NY 12068",bill_payment,,pending,2579.3
190,60,"Clark, Duran and Barton",2025-04-02 15:09:46,151.03,"7524 Tiffany Rapid, Albany, NY 15359",atm_withdrawal,,pending,2375.27
191,20,"Brown, Brown and Brown",2025-04-02 15:33:05,115.7,"4516 Hutchinson Drive, Schenectady, NY 11067",purchase,,pending,2307.11
192,2,"Farrell, Carter and James",2025-04-02 15:40:54,188.71,"5549 Adams Wall, New York, NY 18505",purchase,,pending,2761.39
193,3,Walker Inc,2025-04-02 15:44:39,30.14,"26 Melissa Land, Lake Gregoryborough, NJ 04660",atm_withdrawal,,declined,891.26
194,48,"Stevens, Rogers and Johnson",2025-04-02 15:48:44,458.05,"4460 Brian Lane, Buffalo, NY 13616",wire_transfer,,pending,2243.02
195,59,Sherman-Reyes,2025-04-02 15:52:31,450.75,"6172 Boyd Lane, Syracuse, NY 15982",p2p_transfer,,pending,23650.34
196,51,"Kelly, Knapp and Evans",2025-04-02 15:59:25,-256.07,"7117 James Station, Yonkers, NY 11074",refund,,pending,589.97
197,35,"Young, Dean and Peters",2025-04-02 16:18:31,69.91,"8829 Scott Plains, Queens, NY 19340",wire_transfer,,pending,2112.95
